    x:          approx:          exact:            relative error(log10)
    0.010000000     0.17819301    0.085163036    0.038371745
    0.020000000     0.25324113     0.16127015    -0.24390319
    0.030000000     0.32010196     0.22918314    -0.40152890
    0.040000000     0.37955459     0.28968177    -0.50829277
    0.050000000     0.43230403     0.34347161    -0.58731934
    0.060000000     0.47898817     0.39119109    -0.64890889
    0.070000000     0.52018418     0.43341787    -0.69855571
    0.080000000     0.55641434     0.47067467    -0.73953899
    0.090000000     0.58815122     0.50343443    -0.77397342
     0.10000000     0.61582239     0.53212510    -0.80330233
     0.11000000     0.63981477     0.55713391    -0.82855459
     0.12000000     0.66047845     0.57881124    -0.85048924
     0.13000000     0.67813017     0.59747411    -0.86968206
     0.14000000     0.69305659     0.61340939    -0.88657994
     0.15000000     0.70551703     0.62687665    -0.90153651
     0.16000000     0.71574617     0.63811075    -0.91483615
     0.17000000     0.72395634     0.64732419    -0.92671085
     0.18000000     0.73033968     0.65470928    -0.93735212
     0.19000000     0.73507003     0.66044001    -0.94691979
     0.20000000     0.73830470     0.66467380    -0.95554846
     0.21000000     0.74018601     0.66755311    -0.96335243
     0.22000000     0.74084275     0.66920683    -0.97042950
     0.23000000     0.74039147     0.66975160    -0.97686386
     0.24000000     0.73893760     0.66929294    -0.98272846
     0.25000000     0.73657654     0.66792635    -0.98808682
     0.26000000     0.73339464     0.66573823    -0.99299451
     0.27000000     0.72947000     0.66280675    -0.99750038
     0.28000000     0.72487331     0.65920265     -1.0016476
     0.29000000     0.71966852     0.65498995     -1.0054742
     0.30000000     0.71391349     0.65022655     -1.0090143
     0.31000000     0.70766059     0.64496487     -1.0122982
     0.32000000     0.70095720     0.63925232     -1.0153528
     0.33000000     0.69384619     0.63313181     -1.0182026
     0.34000000     0.68636635     0.62664217     -1.0208694
     0.35000000     0.67855278     0.61981851     -1.0233730
     0.36000000     0.67043723     0.61269262     -1.0257312
     0.37000000     0.66204844     0.60529327     -1.0279604
     0.38000000     0.65341242     0.59764648     -1.0300753
     0.39000000     0.64455269     0.58977579     -1.0320895
     0.40000000     0.63549054     0.58170252     -1.0340154
     0.41000000     0.62624524     0.57344594     -1.0358643
     0.42000000     0.61683420     0.56502349     -1.0376469
     0.43000000     0.60727322     0.55645096     -1.0393730
     0.44000000     0.59757654     0.54774264     -1.0410516
     0.45000000     0.58775710     0.53891143     -1.0426914
     0.46000000     0.57782656     0.52996905     -1.0443004
     0.47000000     0.56779551     0.52092606     -1.0458863
     0.48000000     0.55767350     0.51179204     -1.0474563
     0.49000000     0.54746920     0.50257566     -1.0490177
     0.50000000     0.53719042     0.49328475     -1.0505771
     0.51000000     0.52684427     0.48392641     -1.0521412
     0.52000000     0.51643716     0.47450704     -1.0537166
     0.53000000     0.50597487     0.46503247     -1.0553099
     0.54000000     0.49546267     0.45550794     -1.0569276
     0.55000000     0.48490531     0.44593820     -1.0585765
     0.56000000     0.47430708     0.43632756     -1.0602632
     0.57000000     0.46367186     0.42667991     -1.0619949
     0.58000000     0.45300319     0.41699878     -1.0637790
     0.59000000     0.44230425     0.40728734     -1.0656231
     0.60000000     0.43157791     0.39754849     -1.0675356
     0.61000000     0.42082678     0.38778483     -1.0695251
     0.62000000     0.41005322     0.37799872     -1.0716013
     0.63000000     0.39925937     0.36819230     -1.0737744
     0.64000000     0.38844715     0.35836750     -1.0760558
     0.65000000     0.37761832     0.34852607     -1.0784579
     0.66000000     0.36677446     0.33866960     -1.0809947
     0.67000000     0.35591699     0.32879951     -1.0836817
     0.68000000     0.34504721     0.31891710     -1.0865364
     0.69000000     0.33416630     0.30902354     -1.0895786
     0.70000000     0.32327531     0.29911990     -1.0928309
     0.71000000     0.31237519     0.28920713     -1.0963192
     0.72000000     0.30146683     0.27928610     -1.1000735
     0.73000000     0.29055100     0.26935760     -1.1041286
     0.74000000     0.27962842     0.25942234     -1.1085254
     0.75000000     0.26869972     0.24948097     -1.1133121
     0.76000000     0.25776549     0.23953405     -1.1185462
     0.77000000     0.24682626     0.22958213     -1.1242967
     0.78000000     0.23588250     0.21962568     -1.1306474
     0.79000000     0.22493464     0.20966512     -1.1377007
     0.80000000     0.21398308     0.19970086     -1.1455841
     0.81000000     0.20302816     0.18973323     -1.1544575
     0.82000000     0.19207021     0.17976257     -1.1645248
     0.83000000     0.18110950     0.16978917     -1.1760506
     0.84000000     0.17014632     0.15981327     -1.1893844
     0.85000000     0.15918088     0.14983512     -1.2049990
     0.86000000     0.14821341     0.13985494     -1.2235508
     0.87000000     0.13724410     0.12987291     -1.2459811
     0.88000000     0.12627312     0.11988922     -1.2736938
     0.89000000     0.11530064     0.10990402     -1.3088916
     0.90000000     0.10432679    0.099917450     -1.3552677
     0.91000000    0.093351708    0.089929648     -1.4196152
     0.92000000    0.082375509    0.079940729     -1.5163082
     0.93000000    0.071398300    0.069950798     -1.6841734
     0.94000000    0.060420176    0.059959952     -2.1148915
     0.95000000    0.049441226    0.049968278     -1.9768404
     0.96000000    0.038461526    0.039975855     -1.4215775
     0.97000000    0.027481149    0.029982754     -1.0786528
     0.98000000    0.016500160    0.019989040    -0.75810587
