    x:          approx:          exact:            relative error(log10)
  0.00010000000   0.0017998192  0.00089950471  0.00039079052
  0.00020000000   0.0026982298   0.0017980104    -0.30044386
  0.00030000000   0.0035956424   0.0026955181    -0.47633980
  0.00040000000   0.0044920579   0.0035920288    -0.60108325
  0.00050000000   0.0053874775   0.0044875435    -0.69779801
  0.00060000000   0.0062819021   0.0053820632    -0.77678404
  0.00070000000   0.0071753326   0.0062755888    -0.84353564
  0.00080000000   0.0080677701   0.0071681215    -0.90133243
  0.00090000000   0.0089592156   0.0080596621    -0.95228982
   0.0010000000   0.0098496701   0.0089502117    -0.99785222
   0.0011000000    0.010739134   0.0098397712     -1.0390498
   0.0012000000    0.011627610    0.010728342     -1.0766434
   0.0013000000    0.012515097    0.011615924     -1.1112105
   0.0014000000    0.013401597    0.012502519     -1.1432002
   0.0015000000    0.014287111    0.013388128     -1.1729685
   0.0016000000    0.015171640    0.014272753     -1.2008023
   0.0017000000    0.016055185    0.015156393     -1.2269364
   0.0018000000    0.016937747    0.016039049     -1.2515651
   0.0019000000    0.017819326    0.016920724     -1.2748514
   0.0020000000    0.018699925    0.017801417     -1.2969330
   0.0021000000    0.019579543    0.018681131     -1.3179276
   0.0022000000    0.020458182    0.019559865     -1.3379362
   0.0023000000    0.021335843    0.020437621     -1.3570467
   0.0024000000    0.022212526    0.021314399     -1.3753354
   0.0025000000    0.023088233    0.022190201     -1.3928696
   0.0026000000    0.023962965    0.023065028     -1.4097083
   0.0027000000    0.024836722    0.023938881     -1.4259042
   0.0028000000    0.025709507    0.024811760     -1.4415039
   0.0029000000    0.026581318    0.025683667     -1.4565494
   0.0030000000    0.027452159    0.026554603     -1.4710782
   0.0031000000    0.028322029    0.027424568     -1.4851242
   0.0032000000    0.029190929    0.028293563     -1.4987181
   0.0033000000    0.030058861    0.029161590     -1.5118877
   0.0034000000    0.030925825    0.030028650     -1.5246583
   0.0035000000    0.031791823    0.030894743     -1.5370532
   0.0036000000    0.032656855    0.031759870     -1.5490933
   0.0037000000    0.033520923    0.032624033     -1.5607983
   0.0038000000    0.034384027    0.033487232     -1.5721860
   0.0039000000    0.035246168    0.034349468     -1.5832728
   0.0040000000    0.036107347    0.035210742     -1.5940741
