    x:          approx:          exact:            relative error(log10)
     0.12200000     0.59064664     0.58277537     -1.8694568
     0.12300000     0.59257471     0.58471301     -1.8714262
     0.12400000     0.59447355     0.58662141     -1.8733698
     0.12500000     0.59634346     0.58850088     -1.8752881
     0.12600000     0.59818471     0.59035169     -1.8771815
     0.12700000     0.59999760     0.59217414     -1.8790505
     0.12800000     0.60178241     0.59396851     -1.8808955
     0.12900000     0.60353941     0.59573507     -1.8827169
     0.13000000     0.60526889     0.59747411     -1.8845151
     0.13100000     0.60697111     0.59918589     -1.8862905
     0.13200000     0.60864635     0.60087069     -1.8880435
     0.13300000     0.61029488     0.60252878     -1.8897745
     0.13400000     0.61191696     0.60416042     -1.8914839
     0.13500000     0.61351286     0.60576587     -1.8931719
     0.13600000     0.61508283     0.60734540     -1.8948390
     0.13700000     0.61662713     0.60889926     -1.8964855
     0.13800000     0.61814603     0.61042771     -1.8981117
     0.13900000     0.61963976     0.61193101     -1.8997181
     0.14000000     0.62110859     0.61340939     -1.9013048
     0.14100000     0.62255276     0.61486312     -1.9028722
     0.14200000     0.62397252     0.61629243     -1.9044207
     0.14300000     0.62536810     0.61769757     -1.9059505
     0.14400000     0.62673975     0.61907878     -1.9074619
     0.14500000     0.62808771     0.62043629     -1.9089553
     0.14600000     0.62941222     0.62177035     -1.9104308
     0.14700000     0.63071349     0.62308119     -1.9118889
     0.14800000     0.63199178     0.62436903     -1.9133297
     0.14900000     0.63324730     0.62563411     -1.9147535
     0.15000000     0.63448029     0.62687665     -1.9161606
     0.15100000     0.63569096     0.62809688     -1.9175512
     0.15200000     0.63687954     0.62929501     -1.9189256
     0.15300000     0.63804625     0.63047128     -1.9202841
     0.15400000     0.63919131     0.63162589     -1.9216268
     0.15500000     0.64031493     0.63275906     -1.9229541
     0.15600000     0.64141732     0.63387101     -1.9242661
     0.15700000     0.64249870     0.63496195     -1.9255631
     0.15800000     0.64355928     0.63603207     -1.9268453
     0.15900000     0.64459926     0.63708161     -1.9281129
     0.16000000     0.64561884     0.63811075     -1.9293662
     0.16100000     0.64661824     0.63911970     -1.9306052
     0.16200000     0.64759765     0.64010866     -1.9318304
     0.16300000     0.64855726     0.64107783     -1.9330418
     0.16400000     0.64949729     0.64202740     -1.9342396
     0.16500000     0.65041792     0.64295758     -1.9354241
     0.16600000     0.65131934     0.64386856     -1.9365955
     0.16700000     0.65220174     0.64476052     -1.9377538
     0.16800000     0.65306533     0.64563365     -1.9388994
     0.16900000     0.65391027     0.64648815     -1.9400324
     0.17000000     0.65473677     0.64732419     -1.9411529
     0.17100000     0.65554499     0.64814197     -1.9422612
     0.17200000     0.65633513     0.64894166     -1.9433574
     0.17300000     0.65710736     0.64972344     -1.9444417
     0.17400000     0.65786187     0.65048750     -1.9455142
     0.17500000     0.65859882     0.65123400     -1.9465752
     0.17600000     0.65931839     0.65196313     -1.9476247
     0.17700000     0.66002076     0.65267505     -1.9486630
     0.17800000     0.66070610     0.65336993     -1.9496902
     0.17900000     0.66137457     0.65404796     -1.9507064
     0.18000000     0.66202635     0.65470928     -1.9517118
     0.18100000     0.66266159     0.65535408     -1.9527065
     0.18200000     0.66328047     0.65598251     -1.9536907
     0.18300000     0.66388315     0.65659474     -1.9546645
     0.18400000     0.66446979     0.65719093     -1.9556281
     0.18500000     0.66504054     0.65777123     -1.9565816
     0.18600000     0.66559558     0.65833581     -1.9575251
     0.18700000     0.66613504     0.65888483     -1.9584587
     0.18800000     0.66665909     0.65941843     -1.9593827
     0.18900000     0.66716789     0.65993677     -1.9602971
     0.19000000     0.66766157     0.66044001     -1.9612020
     0.19100000     0.66814030     0.66092828     -1.9620976
     0.19200000     0.66860422     0.66140175     -1.9629840
     0.19300000     0.66905348     0.66186056     -1.9638613
     0.19400000     0.66948823     0.66230486     -1.9647297
