    x:          approx:          exact:            relative error(log10)
     0.10000000      1.6884643     0.53212510     0.33707149
     0.20000000      1.6648170     0.66467380     0.17745361
     0.30000000      1.5058344     0.65022655     0.11921004
     0.40000000      1.2970647     0.58170252    0.089825028
     0.50000000      1.0699794     0.49328475    0.067848226
     0.60000000     0.83615615     0.39754849    0.042686107
     0.70000000     0.59985415     0.29911990   0.0023375896
     0.80000000     0.36264027     0.19970086   -0.088353789
